BINID,BINLAT,BINLOT,BINLOAD,OTID,BINOT-ID,OTLAT,OTLON,COMMENTS
66,38.2518890743238,21.7397125630346,920,66,1,38.2518890743238,21.7397125630346,
68,38.2515581939503,21.7409566580919,1055,68,1,38.2515581939503,21.7409566580919,
74,38.2526574171522,21.7395840066773,944,74,1,38.2526574171522,21.7395840066773,
74,38.2526574171522,21.7395840066773,759,74,2,38.2526574171522,21.7395840066773,
78,38.2531061482860,21.7376057193528,947,78,1,38.2531061482860,21.7376057193528,
79,38.2560107647638,21.7411379491779,878,79,1,38.2560107647638,21.7411379491779,
82,38.2549002113731,21.7406469714551,1058,82,1,38.2549002113731,21.7406469714551,
83,38.2542660626222,21.7404174047442,1086,83,1,38.2542660626222,21.7404174047442,
84,38.2540585230508,21.7402788601442,865,84,1,38.2540585230508,21.7402788601442,
85,38.2539126380985,21.7402706785490,1034,85,1,38.2539126380985,21.7402706785490,
87,38.2534675992512,21.7402610282637,1092,87,1,38.2534675992512,21.7402610282637,
89,38.2531180093130,21.7404001785736,858,89,1,38.2531180093130,21.7404001785736,
89,38.2531180093130,21.7404001785736,824,89,2,38.2531180093130,21.7404001785736,
89,38.2531180093130,21.7404001785736,739,89,3,38.2531180093130,21.7404001785736,
93,38.2524426385051,21.7402530882732,720,93,1,38.2524426385051,21.7402530882732,
95,38.2525289916661,21.7432012158697,769,95,1,38.2525289916661,21.7432012158697,
96,38.2529026020557,21.7420631712011,897,96,1,38.2529026020557,21.7420631712011,
96,38.2529026020557,21.7420631712011,939,96,2,38.2529026020557,21.7420631712011,
98,38.2534486602744,21.7397793910972,794,98,1,38.2534486602744,21.7397793910972,
99,38.2533602325165,21.7394295158316,794,99,2,38.2533602325165,21.7394295158316,
100,38.2536191744041,21.7389873293531,1092,100,1,38.2536191744041,21.7389873293531,
100,38.2536191744041,21.7389873293531,878,100,2,38.2536191744041,21.7389873293531,
103,38.2541964525229,21.7385381582822,931,103,1,38.2541964525229,21.7385381582822,
104,38.2543331396505,21.7394965706160,727,104,1,38.2543331396505,21.7394965706160,
104,38.2543331396505,21.7394965706160,747,104,2,38.2543331396505,21.7394965706160,
